Extraction,Mouse,Genotype,Liver_mg
14,50045,GKO,21.2
3,G0005,GKO,21.6
22,50048,GKO,19.5
24,G0049,GKO,21
8,G0024,GKO,19.4
20,50132,GKO,21.3
9,G0097,HET,21.4
7,50051,HET,21
18,50054,HET,20.9
23,G0093,HET,19.5
17,G0062,HET,21.1
11,G0060,HET,19.7
2,50053,HET,20.8
16,G0057,HET,19.8
13,50131,TG5,20.3
1,50126,TG5,19.7
19,50098,TG5,19.7
15,50056,TG5,20.5
5,50130,TG5,19.9
12,50125,TG5,20
6,50103,TG5,21.1
4,50029,TG5,20.8
25,GKO 254 Mut,GKO LL2,20
27,GKO 289 Mut,GKO LL2,20
29,Gko 301 Mut,GKO LL2,19
31,GKO 328 Mut,GKO LL2,20
26,GKO 248 WT,WT LL2,20
28,GKO 249 WT,WT LL2,19
30,GKO 252 WT,WT LL2,19
32,GKO 287 WT,WT LL2,21
33,GKO 288 WT,WT LL2,20
34,GKO 290 WT,WT LL2,21